Country Name,Region,2015,2016,2017,2018
Afghanistan,Asia,3.121341229,2.581549399,2.866492148,2.885207973
United Arab Emirates,Asia,0.911950036,0.863868923,0.819744473,0.789450108
Argentina,South America,1.078001344,1.057181578,1.037133897,1.015808349
Australia,Oceania,1.439216653,1.561940498,1.653390535,1.502992982
Belgium,Europe,0.579446242,0.506300002,0.385228018,0.455184695
Benin,Africa,2.951249123,2.949828144,2.946321561,2.922392187
Brazil,South America,0.845992601,0.811256478,0.7922634,0.793768154
Canada,North America,0.746339478,1.132348655,1.199520711,1.412455869
Switzerland,Europe,1.138337152,1.092031174,0.933155889,0.736633975
Chile,South America,1.029425554,1.189061026,1.562055456,1.795962799
China,Asia,0.581456147,0.573050906,0.605245013,0.467672053
Cameroon,Africa,3.147582249,2.992175416,2.833798095,2.763737638
Colombia,South America,0.941994067,1.068611891,1.512289606,1.895586751
Cuba,North America,0.069407446,0.018675679,-0.049447897,-0.072015237
Germany,Europe,0.865702644,0.807218539,0.37372456,0.300526702
Denmark,Europe,0.70642385,0.780392644,0.643350904,0.495838926
"Egypt, Arab Rep.",Africa,2.205259807,2.086302846,1.989768495,1.898930768
Euro area,Europe,0.303628561,0.292998233,0.216332911,0.240025321
Eritrea,Africa,0.497672572,0.754064581,0.935971649,1.415949601
Spain,Europe,-0.077588862,0.08443015,0.234587923,0.437982994
European Union,Europe,0.218367449,0.212647701,0.157067514,0.176129821
Finland,Europe,0.329383886,0.287421402,0.234670532,0.132641041
Fiji,Oceania,0.178965106,0.127589743,0.070534838,-0.0025027
France,Europe,0.35556924,0.263868789,0.290202116,0.358494582
United Kingdom,Europe,0.792367506,0.757874493,0.679374474,0.605929132
Greenland,North America,-0.322038549,0.128227978,-0.024920344,-0.265609141
"Hong Kong SAR, China",Asia,0.851197911,0.619366345,0.768513878,0.800230597
Haiti,North America,1.439893507,1.410821213,1.387530074,1.361131318
Indonesia,Asia,1.110854932,1.058942059,1.006439524,0.966206436
India,Asia,1.18779532,1.185046229,1.155624491,1.087527722
Ireland,Europe,0.944845307,1.128834064,1.088675561,1.238875453
"Iran, Islamic Rep.",Asia,2.261784926,1.835807917,1.428825527,1.307882209
Iraq,Asia,2.71497647,2.4594025,2.357692329,2.417560687
Iceland,Europe,1.041940387,1.388081496,2.345582676,2.678142769
Israel,Asia,1.981288976,1.960348962,1.938725674,1.926622865
Italy,Europe,-0.096376133,-0.169884073,-0.149861117,-0.19006364
Jamaica,North America,0.354975146,0.294793626,0.202492606,0.12309148
Japan,Asia,-0.106124994,-0.051137415,-0.081874296,-0.126880068
"Korea, Rep.",Asia,0.527288497,0.396851823,0.280968018,0.433519028
Liberia,Africa,2.035413638,2.012596657,1.905489441,1.915395937
Morocco,Africa,1.253058273,1.223170234,1.191629424,1.117897027
Monaco,Europe,1.78404622,0.84246953,-0.072859748,-0.040500588
Mexico,North America,1.16700885,1.133234288,1.080420738,0.951668644
Mongolia,Asia,2.110866279,2.162336948,2.170490155,2.17135598
Malaysia,Asia,1.499409724,1.462069866,1.415369333,1.31563682
North America,North America,0.739847163,0.768191349,0.691849711,0.618128536
Netherlands,Europe,0.443220089,0.53217888,0.591203366,0.583933409
Norway,Europe,0.995084737,0.880969815,0.807673182,0.660090844
Nepal,Asia,0.53827062,0.904474047,1.149953723,1.140549365
New Zealand,Oceania,2.036033909,2.2460321,2.088722723,1.791240168
Peru,South America,1.172230664,1.361225438,1.506946185,1.87582164
Philippines,Asia,1.669830021,1.77382447,1.76102262,1.700247766
Poland,Europe,-0.066641101,-0.042985131,0.012480099,-0.000200133
Puerto Rico,North America,-1.759208258,-1.93497109,-2.418017622,-4.048391034
Portugal,Europe,-0.414141102,-0.315459017,-0.24388941,-0.160104021
Qatar,Asia,8.651162054,7.212802387,4.394554302,2.007081355
Romania,Europe,-0.470052228,-0.573660845,-0.578007015,-0.587493307
South Asia,Asia,1.226596596,1.212442704,1.216359896,1.187651859
Saudi Arabia,Asia,1.924622137,2.014458627,2.298160561,2.384150031
Singapore,Asia,1.186376937,1.297436099,0.08859547,0.469704299
South Sudan,Africa,-0.169451605,-1.15177979,-3.755484458,-2.497541774
Sweden,Europe,1.057454686,1.256453985,1.34744506,1.16164516
Thailand,Asia,0.475496517,0.443771939,0.41152598,0.323321355
Ukraine,Europe,-0.26124968,-0.331333796,-0.386345311,-0.466425621
United States,North America,0.736217309,0.724676067,0.632643995,0.526435396
Vietnam,Asia,1.042270946,1.009226633,0.968719959,0.932840032
